model_code,model_name,dimension_mm,display_mm,weight_product_acc_g,weight_packages_g,region,manufacturing_co2,distribution_co2,use_co2,disposal_co2
SM-A145F,Galaxy A14,167.7 x 78 x 9.1,,221.87,66.23,US,33.2,0.9,8.2,0.2
SM-A155E,Galaxy A15,160.1 x 76.8 x 8.4,,222.06,91.7,SEA,51.3,1.1,7.0,0.5
SM-A156E,Galaxy A15 5G,160.1 x 76.8 x 8.4,,222.06,91.7,SEA,50.6,0.5,7.0,0.4
SM-A165F,Galaxy A16,164.4 x 77.9 x 7.9,169.1,,59.01,EU,34.3,2.0,5.0,0.1
SM-A166B,Galaxy A16 5G,164.4 x 77.9 x 7.9,169.1,223.13,71.52,EU,36.2,2.2,5.8,0.1
SM-A175F,Galaxy A17,164.4 x 77.9 x 7.5,169.1,,82.78,UK,32.1,2.4,3.4,0.1
SM-A176B,Galaxy A17 5G,164.4 x 77.9 x 7.5,169.1,,81.26,UK,32.6,2.4,3.7,0.1
SM-A245F,Galaxy A24,162.1 x 77.6 x 8.3,,217.06,66.84,UAE,33.7,1.0,10.9,0.2
SM-A256B,Galaxy A25 5G,161.0 x 76.5 x 8.3,,216.88,77.29,EU,36.4,2.0,7.9,0.3
SM-A266B,Galaxy A26 5G,164.0 x 77.5 x 7.7,169.1,,77.74,EU,33.6,2.2,5.8,0.1
SM-A346B,Galaxy A34 5G,161.3 x 78.1 x 8.2,,220.42,106.95,EU,38.3,0.1,9.4,0.2
SM-A356B,Galaxy A35 5G,161.1 x 78.0 x 8.2,,231.62,114.83,EU,37.4,2.3,7.0,0.3
SM-A366B,Galaxy A36 5G,162.9 x 78.2 x 7.4,170.1,,121.32,EU,35.0,2.5,3.4,0.1
SM-A546B,Galaxy A54 5G,158.2 x 76.7 x 8.2,,223.42,108.72,EU,33.9,1.0,9.6,0.2
SM-A556B,Galaxy A55 5G,161.1 x 77.4 x 8.2,,235.93,119.29,EU,38.3,2.3,7.0,0.3
SM-A566B,Galaxy A56 5G,162.2 x 77.5 x 7.4,170.1,,119.8,EU,32.1,2.6,3.5,0.1
SM-M146B,Galaxy M14 5G,166.8 x 77.2 x 9.4,,226.52,71.85,UAE,40.1,1.1,11.6,0.2
SM-M156B,Galaxy M15 5G,160.1 x 76.8 x 9.3,,236.88,89.77,EU,33.9,1.1,12.4,0.3
SM-M346B,Galaxy M34 5G,161.7 x 77.2 x 8.8,,229.16,96.92,EU,35.3,2.0,1.33,0.3
SM-M356B,Galaxy M35 5G,162.3 x 78.6 x 9.1,,243.16,99.57,EU,37.5,2.0,1.48,0.3
SM-M446K,Galaxy M44 5G,167.7 x 78.0 x 9.1,,235.95,102.19,KR,39.9,0.5,15.4,0.3
SM-M546B,Galaxy M54 5G,164.9 x 77.3 x 8.4,,220.18,111.33,UAE,33.9,1.1,14.1,0.2
SM-S711B,Galaxy S23 FE,158.0 x 76.5 x 8.2,,228.99,116.54,EU,37.5,1.7,8.0,0.3
SM-S921B,Galaxy S24,147.0 x 70.6 x 7.6,,186.42,118.64,EU,36.7,2.0,7.1,0.2
SM-S721B,Galaxy S24 FE,162 x 77.3 x 8.0,,232.58,138.35,EU,48.0,2.5,6.5,0.3
SM-S928B,Galaxy S24 Ultra,162.3 x 79 x 8.6,,253.41,124.63,EU,53.8,2.5,8.9,0.3
SM-S926B,Galaxy S24+,158.5 x 75.9 x 7.7,,215.42,124.05,EU,40.3,2.3,7.9,0.2
SM-S931B,Galaxy S25,146.9 x 70.5 x 7.2,156.4,188.68,139.22,EU,40.3,2.4,3.0,0.1
SM-S937B,Galaxy S25 Edge,158.2 x 75.6 x 5.8,169.1,183.99,163.88,UK,34.5,2.8,2.0,0.1
SM-S731U,Galaxy S25 FE,161.3 x 76.6 x 7.4,171.1,,150.62,US,36.4,4.2,5.2,0.1
SM-S938B,Galaxy S25 Ultra,162.8 x 77.6 x 8.2,174.2,240.57,158.99,EU,42.8,2.9,3.1,0.1
SM-S936B,Galaxy S25+,158.4 x 75.8 x 7.3,169.1,210.25,145.97,EU,40.4,2.6,3.0,0.1
SM-G556B,Galaxy XCover7,169.0 x 80.1 x 10.2,,261.75,114.76,EU,41.2,2.5,6.4,0.4
SM-G766B,Galaxy XCover7 Pro,168.6 x 79.9 x 10.2,167.2,,118.99,UK,42.1,3.0,2.9,0.2
SM-F731B,Galaxy Z Flip5,165.1 x 71.9 x 6.9,,206.99,126.6,EU,43.4,2.2,5.5,0.2
SM-F741B,Galaxy Z Flip6,165.1 x 71.9 x 6.9,,208.54,130.45,EU,35.4,2.2,5.6,0.3
SM-F766B,Galaxy Z Flip7,166.7 x 75.2 x 6.5,174.1,,168.98,UK,33.6,3.0,1.9,0.1
SM-F761B,Galaxy Z Flip7 FE,165.1 x 71.9 x 6.9,187.0,,151.83,UK,35.0,3.0,2.6,0.1
SM-F958N,Galaxy Z Fold Special Edition,157.9 x 142.6 x 4.9,203.1,566.55,1254,KR,36.3,0.1,8.2,0.3
SM-F946B,Galaxy Z Fold5,154.9 x 129.9 x 6.1,,272.99,206.99,EU,43.4,3.4,7.4,0.2
SM-F956B,Galaxy Z Fold6,153.5 x 132.6 x 5.6,,259.33,193.46,EU,51.6,3.0,6.1,0.3
SM-F966B,Galaxy Z Fold7,158.4 x 143.2 x 4.2,203.1,,284.36,UK,39.1,4.2,3.3,0.1
SM-F968N,Galaxy Z TriFold,159.2 x 214.1 x 4.2,253,566.55,1254,KR,72.6,0.1,13.6,0.4
SM-S948B,Galaxy S26 Ultra,163.6 x 78.1 x 7.9,174.9,234.74,165.27,UK,42.6,3.2,1.9,0.1
SM-S947B,Galaxy S26+,158.4 x 75.8 x 7.3,169.1,210.74,169.08,UK,35.6,3.0,2.1,0.1
SM-S942B,Galaxy S26,149.6 x 71.7 x 7.2,159.3,189.87,151.17,UK,35.6,2.7,2.0,0.1
